id,Tweet,Label_EI,Stance_EI,Label_EII,Stance_EII,Label_EIII,Stance_EIII,Label_EIII_v2,Stance_EIII_v2,Date
1162336260989554689,"Impactante pelicula que muestra la realidad de las clinicas de aborto que dirige @ippf y que su representante en República Dominicana es #Profamilia, estos centros de muerte es lo qye quieren los que impulsan la despenalización del #Aborto 
#VeLoQueEllaVió 
#UnPlanned https://t.co/R79gQUwPCN",0,Uknown,-1,Against,-1,Against,0,Uknown,
1163279343612780544,"@jorgevillenal es tibio.¡¡
por tanto, @julioguzmanperu
no toma partido respecto a temas de #ideologiadegenero
#aborto y #feminismoobarbarie
es conocido su relacion con @nadineheredia ... por tanto,
no se puede ser hibrido y hacer mixtura con el anti-sistema.
        ¡¡...sea vomitado...!!",0,Uknown,0,Uknown,0,Uknown,0,Uknown,
1163630215425187840,"en un fallo celebrado por promotores del #aborto como @amnesty @amnistia_sv, evelyn hernández, acusada de asesinar a su bebé recién nacido, fue absuelta en el salvador. vía @yodash https://t.co/uqedigmucg",0,Uknown,1,Favor,0,Favor,0,Uknown,
1163688994749714434,"absuelta evelyn hernández, de 21 años, condenada a 30 años de cárcel por dar a luz a un bebé muerto. había sido víctima de violación. en #elsalvador el #aborto es un homicidio agravado
sentencia que arroja luz en la #justicia para las mujeres salvadoreñas
 https://t.co/3varkr1ls9 https://t.co/bq5go9liap",0,Uknown,0,Uknown,0,Uknown,0,Uknown,
1164067106725322753,#eeuu: entra en vigor un recorte de 60 millones a planned parenthood de fondos públicos para el #aborto. https://t.co/0ohcfkhqb1,0,Uknown,0,Uknown,1,Uknown,0,Uknown,
1164169914862751744,"londra. corte d'appello conferma: resta la distanza minima per le proteste degli #antiabortisti.
la misura (di contrasto alle intimidazioni e alle molestie alle pazienti) era stata imposta dal ""municipio"" di ealing intorno alla struttura marie stopes, in cui si pratica l'#aborto. https://t.co/espwkqf43b",0,Uknown,0,Uknown,0,Uknown,0,Uknown,
1166100610065809408,"india: estudian la introducción del #aborto eugenésico hasta el nacimiento
https://t.co/bj3xh4hjlk",0,Uknown,0,Uknown,0,Uknown,0,Uknown,
1167082727645990913,"la situación actual sobre el #aborto en #estadosunidos se resumen en las restricciones al financiamiento para programas de salud sexual y reproductiva y reformas que criminalizan a las mujeres. aquí la historia:  

https://t.co/ernf68xqrk",0,Uknown,0,Uknown,0,Uknown,0,Uknown,
1167116104545767424,el tema del #aborto es sumamente complejo y merece el esfuerzo de un diálogo sensato y profundo. un aspecto importante es que existe toda una industria (@ppfa) detrás de la práctica; un hecho irrefutable. @abbyjohnson cuenta su historia en la película #unplanned.,0,Uknown,-1,Against,0,Against,0,Uknown,
1167172900769685504,⚠️un gran número de mujeres sentenciadas por #aborto o #partofortuito están cumpliendo condenas por homicidio en razón de parentesco consanguíneo o infanticidio. en asilegal buscamos garantizarles un acceso efectivo a la justicia con #perspectivadegenero #asilegaldefiende https://t.co/ennklsbpcv,0,Uknown,1,Favor,0,Favor,0,Uknown,
