Unnamed: 0,id,Tweet,Date,Label_EIV,Stance_EIV
451,1334124852098314242,"No Macarena Gómez, no hay nada contra los hombres normales, con empatía, que quieren igualdad... Si algún hombre se da por aludido el problema lo tiene el, no nosotras. Yo no odio a los hombres y soy muy feminista. Has intentado manchar una lucha de lucha gente. #asino",2020-12-02 07:18:46,1,Favor
452,1331580617218252800,Las feminista no han promovido el dia #noviolenciacontralamujer estan cocentrada mas en los #100diasdecambios #asino,2020-11-25 06:48:53,1,Favor
453,1310396156049084416,"No soy feminista, soy mujer con derechos y punto. Todas esas mujeres que se manifiestan con violencia no me representan y además me avergüenzan. Fuí directora de una ONG 7 años no me hablen de lucha social, ayudé a dar en adopción a decenas de niños y adopté uno. #AsiNo",2020-09-27 20:49:24,1,Favor
454,1310303616679448580, https://t.co/HhRyOmkjz1 Grupo feminista reclamando Justicia. Esto es justicia para ustedes? #AsiNo,2020-09-27 14:41:41,1,Favor
455,1305670565945016325,"#FuerzaExatlón #Cecilia aparte de violenta, cínica es mentirosa... Prefiere escudarse en un movimiento feminista antes de aceptar su error. Ella se equivoco y agredió a Pato por eso su mala reacción. #AsíNo #Cecilia #AsíNo @ExatlonMx  https://t.co/locVnNpwtF",2020-09-14 19:51:35,0,Uknown
456,1304869272582152193,"@lydiacachosi @Rincondescorchy @alfredodelmazo Lydia, estas de acuerdo en que estás radicales #Feministas estaban a punto de destruir carpetas de víctimas? Todo lo que hicieron se constituye como delito. A menos que creas que una feminista pueda quemar edificios, dañar a terceros y quedar impune. #AsiNo",2020-09-12 14:47:32,1,Favor
457,1299789679525613568,@SoniaVivasRive3 Un niño que hace un tuit así es un machista. Si lo haces tú eres tope de feminista y súper guay. #AsiNo,2020-08-29 14:23:03,1,Favor
458,1295447129171857410,"#RRSS  La mujer del vídeo es activista #feminista , se llama @FridaGomezP  #AsiNo #FelizInicioDeSemana #JuntosSaldremosAdelante #UsaCubrebocas #SiAlaVida",2020-08-17 14:47:18,0,Uknown
459,1292076776060080128,"Como feminista estoy asqueada y anonadada.  Unas haciéndole el juego a la extrema derecha machista y al machismo en general, otras manipulando sobre que si no se está de acuerdo con X medida es que se está contra los Derechos de las personas trans.  ¡BASTA!  #AsíNO",2020-08-08 07:34:43,0,Uknown
460,1289219888477700097,"Me considero feminista. Y personalmente chicas cómo ésta, llamando #micromachismo a que pongan el aire acondicionado,tiran por tierra el trabajo de muchas feministas de verdad. Lo digo en serio, me ha dado vergüenza ajena escucharla... #AsíNO",2020-07-31 10:22:28,0,Uknown
461,1286356827077251073,"@marienaristy De acuerdo, pero resulta extraño que después de 16 años de no hacer las cosas, de repente todo el mundo es feminista, le interesa la riqueza de la proxima familia presidencial, le interesan la reestructuración gubernamental.. Nunca dijeron nada y ahora todos son expertos, #AsiNo",2020-07-23 12:45:41,1,Favor
462,1286053507657736192,"Congruencia con trabajo histórico del movimiento feminista cuyos aportes han transformado a #Morelos no simulación #NoSinLasOsc @IMMorelos mantiene al margen nuestra voz, opinión y crítica que construye #AsíNo mientras, la #ViolenciaContraLasMujeres incrementa Diario @inmujeres",2020-07-22 16:40:24,0,Uknown
463,1285956043873419265,"Exigimos congruencia con trabajo histórico del movimiento feminista cuyos aportes han transformado a #Morelos no simulación #NoSinLasOsc @IMMorelos mantiene al margen nuestra voz, opinión y crítica que construye #AsíNo mientras, la #ViolenciaContraLasMujeres se incrementa Diario",2020-07-22 10:13:07,0,Uknown
464,1285227838044606466,"México y con él, sus habitantes mujeres, viven una de las peores páginas de violencia, indiferencia e incapacidad de un gobierno ""transformador"" y con agenda feminista. El enemigo está adentro y el violentador también.  ❌❌❌⚰🏚 #AsiNo #MéxicoFeminicida",2020-07-20 09:59:29,1,Favor
465,1278920637944381440,"Querida gente que entiende que el #feminismo busca la igualdad: Hay un grupo feminista, al que pedimos ayuda desde ""La 13"" (una casa #okupa), que está siendo extremista, no ve violencias femeninas, ha sido violento y se dedica a difamar en una web en vez de ayudar. #Help #AsiNo",2020-07-03 00:16:55,-1,Against
466,1274361274693017601,"Tanto el movimiento #feminista como el #BlackLivesMattters luchan por causas reales. Deben tratarse con mucha rigurosidad y seriedad para conseguir una justicia social necesaria. Esta atrocidad, como muchas otras, denotan el desconocimiento y la. violencia de un Hooligan. #AsíNo  https://t.co/GnfEwNv9Rq",2020-06-20 10:19:39,0,Uknown
467,1274104222053814274,"@romimalaspina7 no es por éste lado chicas.En pleno siglo XXI, cuando la igualdad de género todavía es un sueño a cumplir, existen mujeres q, en vez de practicar la solidaridad con sus homólogas se desgastan en despedazarlas y criticarlas. #asino #BuenViernes #Mujeres #feminista",2020-06-19 17:18:12,0,Uknown
468,1270639712500400128,"Y muchísimo menos centrar el discurso en una batalla, muchas veces de una crueldad enorme, contra las mujeres trans. #AsiNo Ni la teoría feminista ni los derechos de las mujeres, como sujeto político del feminismo, se defienden dañando. Lo primero ""no dañar"".",2020-06-10 03:51:29,1,Favor
469,1270481812309995521,"@MuninnRabe @NegroteSanCrist @PedroJ128 @PuebloExigeRD @solanopat @PedroBotello_ Periodistas, feminista, #ProHaitiana, Anti-Dominicana y #DobleMoral. Gracias a los dominicanos ella es lo que es, y aún así le clava el cuchillo 🔪 por la espalda a su gente. #AsiNo.",2020-06-09 17:24:03,1,Favor
470,1267335375074127872,La incongruencia de algunos es que hoy en medio de #USAonFire todos apoyan los disturbios y cuando fue la marcha #feminista en México todos espantados diciendo #AsiNo Jajajaja ven como si están bien pendejos! 👏🏻👏🏻👏🏻,2020-06-01 01:01:14,0,Uknown
