id,Tweet,Label_EI,Stance_EI,Label_EII,Stance_EII,NNAgainst,NNFavor,NNPred
1344427711742308354,#Abortion will never be approved on our soil!,0,Uknown,0,Uknown,0.9877864,0.012213655,-1
1344426576063115267,A HUGE victory for #WomensRights as #Argentina legalizes #abortion. URL,0,Uknown,1,Favor,0.27219167,0.7278083,1
1344424501006708739,"USER USER CULTURE OF LIFE for all #Georgians #GEORGIA #gapol #gasen vs #Democrats #Socialism CULTURE OF #DEATH #ReverendWarnock ""I'm #ProChoice Pastor"" #euthanasia #Martiallaw #Socialists #Abortion Defund #BLM Defend URL",1,Favor,0,Uknown,0.99203485,0.00796519,-1
1344424237617061888,"Dems are a death cult. They celebrate abortion. They seek to control reproduction of humans, animals, and plants to prevent birth. They want endless wars to kill millions. God is all about life. Dems oppose life and the God who gives it.",0,Uknown,0,Uknown,0.97564936,0.024350664,-1
1344422747607363585,"#Argentina became the largest country in #LatinAmerica to legalise #abortion, a landmark victory for women across the region. It comes after years of mobilisation by the grass-roots movement ‘USER ’. Read the complete article URL URL",0,Uknown,0,Uknown,0.99851996,0.0014800048,-1
1344420810799407104,"#Argentina legalizes #abortion. What will its effects be? Does Roe v. Wade offer some lessons? See USER memo by Phil Levine, USER URL",0,Uknown,0,Uknown,0.9723032,0.02769686,-1
1344420606511521793,Celebrations erupted on the streets of #BuenosAires as #Argentina 's government became one of the first major Latin American countries to approve legalizing URL,0,Uknown,0,Uknown,0.9956126,0.004387345,-1
1344419187549229056,"It is not about #abortion... It is about women's rights and health. The fact twitter is full of 'offended' men says a lot Want to protest? Get a #vasectomy. Otherwise, applaud Argentinian women for their grassroots movement. URL",0,Uknown,0,Uknown,0.28655928,0.7134407,1
1344418336650780678,"Learned one thing. Feminists are disgusting in any country. The mentality of Nihilism has taken over the west. Life has zero value. Pleasure has more value than a human being. God will punish us. If you don't believe, then Karma. Rock Bottom.",0,Uknown,0,Uknown,0.9828032,0.017196732,-1
1344417853680844802,"USER oh wow, lesbians cheering #abortion rights",0,Uknown,0,Uknown,0.4693076,0.5306924,0
1344416565001940992,"USER USER covers Preexisting PRO #American #LIFE for all #Georgians #GEORGIA #gapol #gasen vs Blacklives monster #ReverendWarnock ""I'm a #ProChoice Pastor"" CULTURE OF URL",1,Favor,0,Uknown,0.9065716,0.09342834,-1
1344416081155420162,#RT USER: RT USER: UN Human Rights Chief USER welcomes #Argentina Senate’s historic decision on abortion – after remarkable advocacy by feminist movement. Almost all deaths from #abortion occur in countries which severely restrict or crimi… URL,0,Uknown,0,Uknown,0.9991824,0.0008175767,-1
1344414803851415552,"USER USER USER USER USER #ProLife #Georgians #gapol #Gasen vs Black Crimes against humanity #ReverendWarnock ""I'm a #ProChoice Pastor "" CULTURE OF URL",0,Uknown,-1,Against,0.994558,0.0054420386,-1
1344412279660453888,Read about the historic victory of the campaign to legalise #Abortion in #Argentina here. I was at the rally in 2018 when it failed to pass the senate. So thrilled for my #Sistas USER URL,0,Uknown,0,Uknown,0.997771,0.0022289983,-1
1344411889841831936,Bill legalising abortion passed in Pope's native Argentina USER #Argentina laws URL,0,Uknown,0,Uknown,0.8359643,0.1640357,-1
1344410759078535171,Someone is Missing: British father of aborted baby &amp; #prolife artist Judith Gait team up to show devastating effects of #abortion on men Anniversary Bouquets URL URL,-1,Against,-1,Against,0.9927268,0.0072731576,-1
1344410012395909122,Don’t let USER and their puppets steal the Senate to push their radical agenda of #abortion up until and after birth! Vote USER &amp; USER on Jan 5! (Paid for by GLA Action) URL,-1,Against,-1,Against,0.93358475,0.066415295,-1
1344409544416489473,"USER USER The choice should be made prior to having sex. They do have a choice, the baby does not. And don’t come at me with the rape/incest argument. I’ve done the research/study, less than 1%. This disgusts me that people believe the lie, URL",0,Uknown,1,Favor,0.2751871,0.7248129,1
1344408636026662918,"#Celebrations erupt in #Argentina after the country's Senate voted to #legalize elective #abortion , becoming the largest country in Latin America to do so.⁠ Source USER ⁠ URL",0,Uknown,0,Uknown,0.9996549,0.00034516142,-1
1344408424923074560,"Yesterday,#Argentina became the largest nation in Latin America to legalize #abortion with a 38-29 vote,a landmark vote in a conservative region &amp; a victory for a grass-roots movement that turned years of rallies into political power.Congratulations to all #women around the world",0,Uknown,0,Uknown,0.99989617,0.000103786595,-1
1344408403939094530,"USER USER A 24 week fetus is *not* a baby. It is not sentient, and is thus a *thing*. Early #abortion is absolutely OK. Late abortion is not though... URL URL",0,Uknown,0,Uknown,0.870756,0.12924397,-1
1344408226322731010,"UPDATE UPDATE! Group Chats are available if you wish to have more proofs and interactions sa mga taong nagsuccess na sa meds namin. FOR FURTHER TRANSACTION, kindly send me a message so that I can help you. URL",0,Uknown,0,Uknown,0.9461147,0.053885296,-1
1344407426515279873,"USER Congratulations...you can kill innocent babies now, due to your poor decisions &amp; lack of personal accountability. Depravity on full display. #abortion #ProChoice #trash AreSacred",0,Uknown,0,Uknown,0.83071727,0.16928276,-1
1344406627227553792,"#WakeUpCall this #NewYear2021 Gen. 1:28, ""Be fruitful &amp; increase in number; fill the earth &amp; subdue it. Rule over the fish, the birds, &amp; over every animal that moves on the ground."" God's creation, not just .",0,Uknown,0,Uknown,0.9547776,0.045222405,-1
1344403973546127360,Argentina becomes the first large Latin American country to legalize abortion,0,Uknown,0,Uknown,0.8913737,0.10862629,-1
1344401148829118466,USER USER #Willard!? You're fucking joking right!? He's not just corrupt both personally &amp; politically but he should be excommunicated from his USER church for his #abortion riddled #Socialist HC law!,0,Uknown,0,Uknown,0.85339713,0.14660285,-1
