id,Tweet,Date,Label_EIV,Stance_EIV
1346233242266071041,"En 2019 el Congreso de #CoreaDelSur🇰🇷 dictaminó de inconstitucional la ley de 1953 que criminalizaba el aborto. Tras años de espera, es un hecho y a partir del 01/01/2021 el aborto ya no es considerado delito‼️💚#AbortoLegalYa #DDHH  Vía: @Poblanerias. 📲  https://t.co/GRBz8TG8qe  https://t.co/cJ3t4X0BaZ",2021-01-04 17:13:11,1,Favor
1346232811846586372,"Q se molesten los q les de la gana!   Sean responsables y cuidense! La culpa no es del bebé sino de los adultos anormales e irresponsables!  #AbortoLegalYa?  #Aborto   Y si, es una estupidez que lea personas que deben pagar por tratamientos de cáncer de útero y el aborto gratis?  https://t.co/XQ84HfEua5",2021-01-04 17:11:28,1,Favor
1346230784743632896,"Hace unos días conocí a una señora que tenía a un bebé de 3 meses, le está dando hogar temporal, lo dejaron de 5 días de nacido tirado en la vía pública y no paro de pensar en eso y como se podría evitar si se legalizara el aborto #AbortoLegalYa",2021-01-04 17:03:25,1,Favor
1346229073731837952,"Excelente reflexión honesta, lógica, y de sentido común sobre el aborto ley. Lectura recomendada a aquellos que se consideran ""progresistas"" en el tema. #AbortoLegal2020 #AbortoLegalYa #SeraLey  https://t.co/DRwgzDOYWE",2021-01-04 16:56:37,1,Favor
1346224425084055552,"Un derecho fundamental es Respetar la vida, NO al aborto  #Colombia @Aborto_LegalCol @casa_la #mexico #USA #AbortoLegalYa  https://t.co/V7QQnVjRmi",2021-01-04 16:38:09,1,Favor
1346199206759948291,@Laurapinzonb Pero quieren decidir sobre un cuerpo que no es el de ellas y así condenarlos a pena de muerte sin poder defenderse en un juicio justo por su estado de indefensión de un crimen que él no cometió. #AbortoLegalYa #Aborto #AbortoLegal #AbortoLegal2020,2021-01-04 14:57:56,1,Favor
1346188305172410373,Existen diversos mitos en torno al #aborto que obstaculizan su despenalización y entendimiento como un servicio de salud. En este folleto de @GIRE_mx respondemos con evidencia algunos de estos mitos y preguntas -&gt;  https://t.co/Y5whVbR8IT #AbortoLegalYa #SeráLey,2021-01-04 14:14:37,1,Favor
1346179989964775426,"Tras lo ocurrido en Argentina, ¿q pasa con la legalización del aborto en el mundo? Según @ReproRightsLAC al menos 90 millones d mujeres viven en 26 países donde no se permite la interrupción voluntaria del embarazo en ninguna circunstancia #AbortoLegalYa  https://t.co/5RmV3cYMzd",2021-01-04 13:41:35,1,Favor
1346178581437837314,Siento que estamos dando pasos pequeños como sociedad con el tema del aborto #AbortoLegalYa ahora falta Colombia.,2021-01-04 13:35:59,1,Favor
1346127171933396993,"NO pidas aborto, pide QUE TE QUITEN LA MATRIZ. Eso si es decidir sobre tu cuerpo👆🏻 #BuenDia #AbortoLegal2020 #AbortoLegalYa #AlguienTieneQueDecirlo #NoAlAborto #FelizInicioDeSemana #AMLO",2021-01-04 10:11:42,1,Favor
